OntologyURI;ReasonerCreationTime(ns);MaterializingTime(ns)
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_190.owl;33631691;15055829
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_213.owl;35010253;16373515
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_29.owl;31299245;7612448
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_52.owl;31947669;9338135
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_6.owl;30168791;6132500
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_75.owl;32034707;9593940
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_98.owl;32775133;12023935
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl;51705724;10806320
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_111.owl;48852917;9423556
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_112.owl;51457681;9420519
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_113.owl;48798730;9133166
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_114.owl;48952231;9407513
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_115.owl;47932923;10568390
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_116.owl;49842350;9460596
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_117.owl;50079507;9915595
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_118.owl;49340208;10002745
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_119.owl;49890389;9414755
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_120.owl;48301281;9459140
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_121.owl;48693353;9990038
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl;34790928;14647451
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_102.owl;32356681;11618036
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_109.owl;32878804;12072699
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_116.owl;35417904;13603954
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_123.owl;34617576;12343542
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_130.owl;34299807;12541429
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_137.owl;33050379;12665050
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_144.owl;32757279;13797586
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_151.owl;33467394;13582082
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_158.owl;34292141;13668418
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_165.owl;32992375;14010082
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_172.owl;33173348;14803521
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl;244626876;709252857
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_10552.owl;118196673;444145327
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_14714.owl;198514861;704009527
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_18876.owl;252786963;709670363
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_2228.owl;275686324;403413907
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_23038.owl;313859074;1198461545
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_27200.owl;343376108;1297368260
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_31362.owl;398876922;1215614487
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_35524.owl;451371338;1352899744
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_39686.owl;324262018;634088480
file:////home/ktgroup/Desktop/isa/Datasets/356/0dbc4292-8aa9-44dc-a029-e7b1449f0e9d_OS4.owl_functional.owl_1_4162_6390.owl;93764412;187768887
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl;81225552;50675050
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_1026.owl;72209331;42532952
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_1073.owl;71495863;43915620
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_650.owl;66456428;33078570
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_697.owl;67036670;35287486
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_744.owl;67761786;35812920
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_791.owl;68958306;36863010
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_838.owl;69775718;37565807
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_885.owl;68140906;38966960
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_932.owl;67976589;42394972
file:////home/ktgroup/Desktop/isa/Datasets/356/12e6b366-f34b-436e-b1ce-9546bc85d136_se2rdftest.xml_functional.owl_1_47_979.owl;69731609;41717377
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl;60097796;9868858
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_112.owl;50759769;9171964
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_116.owl;50970407;9258421
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_120.owl;52166444;10101779
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_124.owl;53451889;9321913
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_128.owl;52770807;9289951
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_132.owl;53916551;10307439
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_136.owl;54964805;9428219
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_140.owl;54232498;9459928
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_144.owl;55637887;9549306
file:////home/ktgroup/Desktop/isa/Datasets/356/13a74419-fef5-4ced-afc6-265b308c54f1_onto.rdf_functional.owl_1_4_148.owl;56708102;9628400
file:////home/ktgroup/Desktop/isa/Datasets/356/15d7f247-fa08-4fcb-a571-0709c41e082c_cerifrdf.rdf_functional.owl;37759210;19889178
file:////home/ktgroup/Desktop/isa/Datasets/356/15d7f247-fa08-4fcb-a571-0709c41e082c_cerifrdf.rdf_functional.owl_1_7_136.owl;38065800;16308209
file:////home/ktgroup/Desktop/isa/Datasets/356/15d7f247-fa08-4fcb-a571-0709c41e082c_cerifrdf.rdf_functional.owl_1_7_143.owl;35996320;16067518
file:////home/ktgroup/Desktop/isa/Datasets/356/15d7f247-fa08-4fcb-a571-0709c41e082c_cerifrdf.rdf_functional.owl_1_7_150.owl;36012343;16709103
file:////home/ktgroup/Desktop/isa/Datasets/356/15d7f247-fa08-4fcb-a571-0709c41e082c_cerifrdf.rdf_functional.owl_1_7_157.owl;37126992;16902318
file:////home/ktgroup/Desktop/isa/Datasets/356/15d7f247-fa08-4fcb-a571-0709c41e082c_cerifrdf.rdf_functional.owl_1_7_164.owl;35763392;16786474
file:////home/ktgroup/Desktop/isa/Datasets/356/15d7f247-fa08-4fcb-a571-0709c41e082c_cerifrdf.rdf_functional.owl_1_7_171.owl;36871592;17812123
file:////home/ktgroup/Desktop/isa/Datasets/356/15d7f247-fa08-4fcb-a571-0709c41e082c_cerifrdf.rdf_functional.owl_1_7_178.owl;37648843;17101878
file:////home/ktgroup/Desktop/isa/Datasets/356/15d7f247-fa08-4fcb-a571-0709c41e082c_cerifrdf.rdf_functional.owl_1_7_185.owl;35991714;16976743
file:////home/ktgroup/Desktop/isa/Datasets/356/15d7f247-fa08-4fcb-a571-0709c41e082c_cerifrdf.rdf_functional.owl_1_7_192.owl;38970035;17181943
file:////home/ktgroup/Desktop/isa/Datasets/356/15d7f247-fa08-4fcb-a571-0709c41e082c_cerifrdf.rdf_functional.owl_1_7_199.owl;37637760;17132115
file:////home/ktgroup/Desktop/isa/Datasets/356/15d7f247-fa08-4fcb-a571-0709c41e082c_cerifrdf.rdf_functional.owl_1_7_206.owl;37658952;17824573
file:////home/ktgroup/Desktop/isa/Datasets/356/16060d98-1832-493e-b5db-35939b624ebb_rySMW_releases_functional.owl;41855488;21740798
file:////home/ktgroup/Desktop/isa/Datasets/356/16060d98-1832-493e-b5db-35939b624ebb_rySMW_releases_functional.owl_1_14_189.owl;38079069;16630532
file:////home/ktgroup/Desktop/isa/Datasets/356/16060d98-1832-493e-b5db-35939b624ebb_rySMW_releases_functional.owl_1_14_203.owl;38247350;17077509
file:////home/ktgroup/Desktop/isa/Datasets/356/16060d98-1832-493e-b5db-35939b624ebb_rySMW_releases_functional.owl_1_14_217.owl;39701070;17594346
file:////home/ktgroup/Desktop/isa/Datasets/356/16060d98-1832-493e-b5db-35939b624ebb_rySMW_releases_functional.owl_1_14_231.owl;38545685;17726069
file:////home/ktgroup/Desktop/isa/Datasets/356/16060d98-1832-493e-b5db-35939b624ebb_rySMW_releases_functional.owl_1_14_245.owl;39424757;18001379
file:////home/ktgroup/Desktop/isa/Datasets/356/16060d98-1832-493e-b5db-35939b624ebb_rySMW_releases_functional.owl_1_14_259.owl;38786572;17699186
file:////home/ktgroup/Desktop/isa/Datasets/356/16060d98-1832-493e-b5db-35939b624ebb_rySMW_releases_functional.owl_1_14_273.owl;39321422;17186880
file:////home/ktgroup/Desktop/isa/Datasets/356/16060d98-1832-493e-b5db-35939b624ebb_rySMW_releases_functional.owl_1_14_287.owl;40189314;17385070
file:////home/ktgroup/Desktop/isa/Datasets/356/16060d98-1832-493e-b5db-35939b624ebb_rySMW_releases_functional.owl_1_14_301.owl;38949070;17506482
file:////home/ktgroup/Desktop/isa/Datasets/356/16060d98-1832-493e-b5db-35939b624ebb_rySMW_releases_functional.owl_1_14_315.owl;39958101;17861517
file:////home/ktgroup/Desktop/isa/Datasets/356/1b99efff-7fdf-4fb3-8b01-9d8ab2efc8f1_3702.rdf_functional.owl;39188481;24215137
file:////home/ktgroup/Desktop/isa/Datasets/356/1b99efff-7fdf-4fb3-8b01-9d8ab2efc8f1_3702.rdf_functional.owl_1_44_100.owl;31284819;11633013
file:////home/ktgroup/Desktop/isa/Datasets/356/1b99efff-7fdf-4fb3-8b01-9d8ab2efc8f1_3702.rdf_functional.owl_1_44_12.owl;29663368;6544237
file:////home/ktgroup/Desktop/isa/Datasets/356/1b99efff-7fdf-4fb3-8b01-9d8ab2efc8f1_3702.rdf_functional.owl_1_44_144.owl;31339638;12937532
file:////home/ktgroup/Desktop/isa/Datasets/356/1b99efff-7fdf-4fb3-8b01-9d8ab2efc8f1_3702.rdf_functional.owl_1_44_188.owl;32534960;15586201
file:////home/ktgroup/Desktop/isa/Datasets/356/1b99efff-7fdf-4fb3-8b01-9d8ab2efc8f1_3702.rdf_functional.owl_1_44_232.owl;34652618;16929347
file:////home/ktgroup/Desktop/isa/Datasets/356/1b99efff-7fdf-4fb3-8b01-9d8ab2efc8f1_3702.rdf_functional.owl_1_44_276.owl;34358251;17617842
file:////home/ktgroup/Desktop/isa/Datasets/356/1b99efff-7fdf-4fb3-8b01-9d8ab2efc8f1_3702.rdf_functional.owl_1_44_320.owl;35745034;18141985
file:////home/ktgroup/Desktop/isa/Datasets/356/1b99efff-7fdf-4fb3-8b01-9d8ab2efc8f1_3702.rdf_functional.owl_1_44_364.owl;35748841;19272386
file:////home/ktgroup/Desktop/isa/Datasets/356/1b99efff-7fdf-4fb3-8b01-9d8ab2efc8f1_3702.rdf_functional.owl_1_44_408.owl;34394207;19252223
file:////home/ktgroup/Desktop/isa/Datasets/356/1b99efff-7fdf-4fb3-8b01-9d8ab2efc8f1_3702.rdf_functional.owl_1_44_56.owl;30795806;9012418
file:////home/ktgroup/Desktop/isa/Datasets/356/1cb603d0-4461-48b7-b7c5-ffe0cb8133db_i_of_the_Month_functional.owl;40434070;16521103
file:////home/ktgroup/Desktop/isa/Datasets/356/1d1247b4-7973-4e96-8fd6-29f8a0d89e43_all.ttl_functional.owl;33214105;22624963
file:////home/ktgroup/Desktop/isa/Datasets/356/1d1247b4-7973-4e96-8fd6-29f8a0d89e43_all.ttl_functional.owl_1_7_104.owl;31142516;18582987
file:////home/ktgroup/Desktop/isa/Datasets/356/1d1247b4-7973-4e96-8fd6-29f8a0d89e43_all.ttl_functional.owl_1_7_111.owl;31272582;19895165
file:////home/ktgroup/Desktop/isa/Datasets/356/1d1247b4-7973-4e96-8fd6-29f8a0d89e43_all.ttl_functional.owl_1_7_118.owl;31413659;20531751
file:////home/ktgroup/Desktop/isa/Datasets/356/1d1247b4-7973-4e96-8fd6-29f8a0d89e43_all.ttl_functional.owl_1_7_125.owl;32604926;21077034
file:////home/ktgroup/Desktop/isa/Datasets/356/1d1247b4-7973-4e96-8fd6-29f8a0d89e43_all.ttl_functional.owl_1_7_132.owl;32524208;21375919
file:////home/ktgroup/Desktop/isa/Datasets/356/1d1247b4-7973-4e96-8fd6-29f8a0d89e43_all.ttl_functional.owl_1_7_62.owl;31695779;14348345
file:////home/ktgroup/Desktop/isa/Datasets/356/1d1247b4-7973-4e96-8fd6-29f8a0d89e43_all.ttl_functional.owl_1_7_69.owl;32247823;15190356
file:////home/ktgroup/Desktop/isa/Datasets/356/1d1247b4-7973-4e96-8fd6-29f8a0d89e43_all.ttl_functional.owl_1_7_76.owl;35797030;15700187
file:////home/ktgroup/Desktop/isa/Datasets/356/1d1247b4-7973-4e96-8fd6-29f8a0d89e43_all.ttl_functional.owl_1_7_83.owl;31357889;16342217
file:////home/ktgroup/Desktop/isa/Datasets/356/1d1247b4-7973-4e96-8fd6-29f8a0d89e43_all.ttl_functional.owl_1_7_90.owl;31257506;17241442
file:////home/ktgroup/Desktop/isa/Datasets/356/1d1247b4-7973-4e96-8fd6-29f8a0d89e43_all.ttl_functional.owl_1_7_97.owl;31198831;18055470
file:////home/ktgroup/Desktop/isa/Datasets/356/1dd81ef3-1e3e-4b2f-9bd0-230123497968_atOntology.owl_functional.owl;46907164;55345605
