OntologyURI;ReasonerCreationTime(ns);MaterializingTime(ns)
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_190.owl;57213565;97461372
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_213.owl;60937110;105930866
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_29.owl;57020340;57316376
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_52.owl;56237682;63869873
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_6.owl;54944523;51888786
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_75.owl;58104206;68699393
file:////home/ktgroup/Desktop/isa/Datasets/356/05e21cac-d2a1-467c-bbe9-97c568663d68_10090.rdf_functional.owl_1_23_98.owl;59619217;76225334
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl;56639498;104410708
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_111.owl;57323454;102024057
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_112.owl;56680760;102567985
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_113.owl;62439172;110377926
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_114.owl;59679938;102657845
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_115.owl;60178614;104279927
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_116.owl;58876433;100416253
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_117.owl;60394635;105609490
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_118.owl;58573915;103254472
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_119.owl;58097391;101787512
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_120.owl;59606045;104865347
file:////home/ktgroup/Desktop/isa/Datasets/356/06d27a7f-d087-46e4-9340-95ac4d8848b3_onto.rdf_functional.owl_1_1_121.owl;58359482;103622820
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl;61216655;116996555
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_102.owl;65123916;114871992
file:////home/ktgroup/Desktop/isa/Datasets/356/0a314cbc-3ffe-4f6e-b6a5-cae94a760fbb_Settlement.owl_functional.owl_1_7_109.owl;62185360;105797769
